archetype,street,pot_bucket,n,fold_pct,call_pct,raise_pct
LAG,flop,small,23207,0.30391692161847716,0.419916404533115,0.2761666738484078
LAG,flop,medium,47541,0.46410466755011465,0.36703056309290927,0.16886476935697609
LAG,flop,large,128769,0.5888762046765914,0.3061218150331213,0.10500198029028726
LAG,river,small,22847,0.3224931063159277,0.5136779445879109,0.1638289490961614
LAG,river,medium,21493,0.4992323081933653,0.40785371981575397,0.09291397199088075
LAG,river,large,29121,0.6590433020844064,0.2815837368222245,0.059372961093369044
LAG,turn,small,29539,0.22509225092250923,0.584007583195098,0.19090016588239278
LAG,turn,medium,32541,0.4015549614332688,0.47100580805752745,0.12743923050920378
LAG,turn,large,47211,0.5710109932007371,0.3500667217385779,0.07892228506068501
Loose-passive,flop,small,36026,0.3393660134347416,0.4565036362626992,0.20413035030255927
Loose-passive,flop,medium,80442,0.4838890132020586,0.38294671937545066,0.13316426742249074
Loose-passive,flop,large,235132,0.6112098736029125,0.3080695098923158,0.08072061650477179
Loose-passive,river,small,39122,0.3159858902919074,0.5164868871734574,0.16752722253463526
Loose-passive,river,medium,35895,0.47995542554673354,0.41844268003900265,0.10160189441426383
Loose-passive,river,large,56708,0.6568385412992875,0.2742999224095366,0.06886153629117585
Loose-passive,turn,small,50443,0.20771960430585018,0.6179846559482981,0.17429573974585175
Loose-passive,turn,medium,55048,0.37730707745967157,0.5103001017293998,0.11239282081092865
Loose-passive,turn,large,91243,0.5714630163409796,0.3614304658987539,0.06710651776026653
Maniac,flop,small,14323,0.28799832437338546,0.4525588214759478,0.25944285415066676
Maniac,flop,medium,33489,0.43829317089193465,0.39935501209352325,0.1623518170145421
Maniac,flop,large,88252,0.5245660155010652,0.3626886642795631,0.1127453202193718
Maniac,river,small,15615,0.31821966058277296,0.45661223182837013,0.22516810758885686
Maniac,river,medium,14668,0.49604581401690756,0.3692391600763567,0.13471502590673576
Maniac,river,large,19908,0.6237191078963231,0.2854631303998393,0.09081776170383765
Maniac,turn,small,19985,0.18879159369527146,0.5900425318989242,0.22116587440580435
Maniac,turn,medium,22703,0.3579262652512884,0.5020922345064529,0.13998150024225872
Maniac,turn,large,32029,0.491148646539074,0.4112835243060976,0.09756782915482844
Nit,flop,small,18431,0.39108024523899954,0.3223916228093972,0.28652813195160326
Nit,flop,medium,33317,0.5801242608878351,0.2666506588228232,0.1532250802893418
Nit,flop,large,117520,0.73000340367597,0.1900357385976855,0.07996085772634445
Nit,river,small,14550,0.33670103092783504,0.528659793814433,0.13463917525773195
Nit,river,medium,13330,0.5256564141035259,0.3924981245311328,0.08184546136534133
Nit,river,large,25106,0.7461562972994503,0.20652433681191748,0.0473193658886322
Nit,turn,small,19761,0.2717473812054046,0.5330195840291483,0.1952330347654471
Nit,turn,medium,20633,0.48383657248097706,0.3993602481461736,0.11680317937284931
Nit,turn,large,43239,0.7203450588589005,0.2234325493189019,0.05622239182219756
Station,flop,small,30302,0.30651442149033065,0.5330341231601875,0.16045145534948188
Station,flop,medium,73968,0.43355234696084793,0.45892818516115075,0.1075194678780013
Station,flop,large,197125,0.5229067850348763,0.40469245402663284,0.07240076093849081
Station,river,small,38396,0.3081310553182623,0.5102093968121679,0.18165954786956975
Station,river,medium,35197,0.4717447509730943,0.41966644884507204,0.10858880018183367
Station,river,large,51857,0.6009603332240585,0.3168906801396147,0.08214898663632682
Station,turn,small,48071,0.17153793347340393,0.680389423977034,0.1480726425495621
Station,turn,medium,53644,0.32918872567295504,0.568637685482067,0.102173588844978
Station,turn,large,81162,0.4746309849436929,0.4577881274488061,0.06758088760750104
TAG,flop,small,31555,0.3488829028680082,0.3564569798764063,0.2946601172555855
TAG,flop,medium,54851,0.5311662503874132,0.308836666605896,0.15999708300669085
TAG,flop,large,164280,0.6577063550036523,0.2425127830533236,0.0997808619430241
TAG,river,small,27849,0.35430356565765375,0.5111135049732486,0.13458292936909763
TAG,river,medium,26484,0.5462165835976439,0.3791345718169461,0.07464884458541006
TAG,river,large,37293,0.715147614833883,0.2377926152361033,0.04705976993001368
TAG,turn,small,35887,0.28143896118371553,0.5375205506172152,0.1810404881990693
TAG,turn,medium,38602,0.4873840733640744,0.4038391793171338,0.10877674731879178
TAG,turn,large,61044,0.6627514579647468,0.2715090754210078,0.06573946661424546
