archetype,position,vpip,n_players
LAG,BB,0.24316520866126687,2528
LAG,BTN,0.33383669514155,2803
LAG,CO,0.30602859551415085,2685
LAG,MP,0.26352502424780594,2525
LAG,MP+1,0.24054111157291772,851
LAG,SB,0.3990093692954235,2733
LAG,UTG,0.23321914651181502,2056
LAG,UTG+1,0.19296031730297988,590
Loose-passive,BB,0.21179954537048817,4620
Loose-passive,BTN,0.2920876614229594,5124
Loose-passive,CO,0.29451917080517803,4976
Loose-passive,MP,0.2706237340278333,4722
Loose-passive,MP+1,0.2483654327140487,2307
Loose-passive,SB,0.4158695610863349,5054
Loose-passive,UTG,0.2504496262577358,3931
Loose-passive,UTG+1,0.22283281757971488,1565
Maniac,BB,0.42675737587532875,1529
Maniac,BTN,0.5465592235290146,1822
Maniac,CO,0.5723315914525828,1690
Maniac,MP,0.5585816147560384,1517
Maniac,MP+1,0.5488007508558477,267
Maniac,SB,0.6660485725619639,1760
Maniac,UTG,0.5514620746219026,977
Maniac,UTG+1,0.5266330636099398,124
Nit,BB,0.08971596691893757,1655
Nit,BTN,0.14308919318531885,1696
Nit,CO,0.12483507675176463,1687
Nit,MP,0.09186713560501467,1678
Nit,MP+1,0.0974414540680706,1437
Nit,SB,0.1718224218531759,1702
Nit,UTG,0.07880930310078488,1629
Nit,UTG+1,0.07920793937113649,1290
Station,BB,0.3363125826796238,3442
Station,BTN,0.45892057914426115,3973
Station,CO,0.4822986866441482,3755
Station,MP,0.4705257102414934,3453
Station,MP+1,0.4512430481537492,908
Station,SB,0.5897530335475288,3899
Station,UTG,0.45856943634361175,2473
Station,UTG+1,0.4281089267383169,471
TAG,BB,0.16450957790917334,2148
TAG,BTN,0.2703112532412671,2223
TAG,CO,0.2153857572465521,2190
TAG,MP,0.16616312323409752,2137
TAG,MP+1,0.16736598828501814,557
TAG,SB,0.25136787262769217,2220
TAG,UTG,0.14185996263191766,1941
TAG,UTG+1,0.127600746848112,457
