player,n_events,raw_rate,shrunk_rate
++/n3muouXqnhpP4va6tAw,2,1.0,0.7686497168226745
++4AIRL4To70IQYVPa6QAA,2,1.0,0.7686497168226745
++57wmTFSMPzQQakK1jJvg,5,0.8,0.759908312523588
++5HvW34KhP4OIkhVl0Gog,6,0.8333333333333334,0.7665775260645995
++M5aR8A9WQjMjlK6jB2Uw,3,0.6666666666666666,0.7453573011613813
++Vkt0bkj7t5BitGAY4ylQ,1,1.0,0.7611868044621156
++e2iGnCMM2RHgRbiPGXmQ,1,1.0,0.7611868044621156
++xVG54JZirk/iVbvXLSGg,1,1.0,0.7611868044621156
+/5IvVP6il5Uo6Ho3TCJLQ,1,0.0,0.7289287399459865
+/JY+4eArcleblsPiudesA,1,0.0,0.7289287399459865
+/JwXlpfax0LxHuYAfbYGA,2,1.0,0.7686497168226745
+/MmmVP1gOK140f/6mkxxw,4,0.5,0.7234350275978113
+/SvdqQvD4/py4a3x1i7rg,3,0.6666666666666666,0.7453573011613813
+/Vz2jsf08ClrfB4gAM1OA,8,1.0,0.8051787089033048
+/iA8js3ZFA6qwrlpRo/Yg,1,0.0,0.7289287399459865
+/kcA5y3XNUsDysSBpuz/Q,1,1.0,0.7611868044621156
+/mpG9Nai/jdUgUFsR1z6Q,1,1.0,0.7611868044621156
+/rcOGtkf8aT9TmDXrwMAg,1,1.0,0.7611868044621156
+/tFa3Emuw/UTq/UNbzrGA,1,1.0,0.7611868044621156
+0+ZG7P3CkMIBP2dq4VoZw,1,1.0,0.7611868044621156
+045a/6LhQxWKFbr/g24WA,6,0.6666666666666666,0.7387997482868217
+06AMmQMvOW7LKmrk+lzyA,3,0.6666666666666666,0.7453573011613813
+0IeTT82Q9tvgMjMvr4uYg,4,0.75,0.7528467923036937
+0K+NTF4Zm1nggEOZ2auzQ,1,1.0,0.7611868044621156
+0QATwofpJyUHADnQ9jh3w,1,1.0,0.7611868044621156
+0SyYJm7N7Ute/pzUyf3zA,8,1.0,0.8051787089033048
+0ZRdvDNOsX3hN4ojW2fOQ,1,0.0,0.7289287399459865
+0fn7KRiR0Nzf1RoVCTBkQ,4,0.75,0.7528467923036937
+0gVvmt9WqNS96sF53RjyQ,1,0.0,0.7289287399459865
+0hyHmp/fQkhgIVZxtHzNQ,4,0.5,0.7234350275978113
+0keIrF6EI3NmTNXkc2org,3,0.6666666666666666,0.7453573011613813
+19V2NzlvOk3JEPOudtS8g,1,1.0,0.7611868044621156
+1BDMZLUyBxB020rJipuWg,2,0.5,0.7373997168226745
+1FrcZ20J9Kx1cxuRNEJsg,5,0.8,0.759908312523588
+1L7RvldsWuxdPIOXhmtlA,3,0.6666666666666666,0.7453573011613813
+1LDS2lMozHIOjvClau8kQ,1,0.0,0.7289287399459865
+1RpFc/Sb/bQIJmstFv5zQ,1,0.0,0.7289287399459865
+1W7kOn8zilo+npAYadObw,3,0.3333333333333333,0.715054270858351
+1YH2ZEE7OI3NO7O1sYuVw,2,0.0,0.7061497168226745
+1Ylj6gp3L3+Vv0WCm2QcA,1,1.0,0.7611868044621156
+1ZZr79prGVk2P5GwxAEQQ,4,1.0,0.7822585570095759
+1bGEULmXVGNDhi0z+MY/w,17,0.7647058823529411,0.757378530602672
+1e7ZVI1NdRD9O52TIRbEw,6,0.5,0.7110219705090439
+1hZr3nQBmzvTAN4xHbcQQ,7,0.7142857142857143,0.7458592145493401
+1te4JGE8zQSzoxQx4byAg,4,1.0,0.7822585570095759
+22PIVh/siBz9baRAowpoA,1,1.0,0.7611868044621156
+27tBkRxVnI/gSnG3s/APg,13,1.0,0.8278323474029206
+2Pe2pI8ZbXT6tXwsBI6tQ,1,1.0,0.7611868044621156
+2dVmor8hXFO6+vInalzeQ,8,1.0,0.8051787089033048
+2eUCLHatoIqHsW76FB5kA,1,1.0,0.7611868044621156
+2fs1ZG3/lQfKrJ7kgoWgg,1,0.0,0.7289287399459865
+2kMBNpY4nF1qNCRd8SJLA,18,0.6666666666666666,0.7207664778817829
+2oiDiS9YCBe2gL1upSbTA,1,1.0,0.7611868044621156
+2pKdXAHOUBcJOz5W1eCJg,1,0.0,0.7289287399459865
+2udrxa+Edu+/81sVFG2VQ,1,0.0,0.7289287399459865
+2ukheKva04p46sstZmzSw,2,1.0,0.7686497168226745
+2xEjI+MnYsdhOWtAfuoXw,3,1.0,0.7756603314644116
+2xV68fIdrgOxkVepviH9g,1,1.0,0.7611868044621156
+3+XRv5S5ZBXbZiRusirXg,2,1.0,0.7686497168226745
+36hGw3P8ealYu7gKC+u5w,4,0.25,0.694023262891929
+3HgkO0GEf/z9Di2OTtclw,2,1.0,0.7686497168226745
+3Q6OGtYAz9w2BBvi3fJpA,2,0.5,0.7373997168226745
+3RCI0J6fggmxTDo7VC6cw,1,1.0,0.7611868044621156
+3T2jp95KmwW7D/jhRui7Q,1,1.0,0.7611868044621156
+3aHL9kXqb4TnL0VubHMpA,1,1.0,0.7611868044621156
+3fr7bK06zvcaDFy1zFOqA,3,1.0,0.7756603314644116
+3kBR+o5guKku5v1ZifR9w,1,1.0,0.7611868044621156
+3xDNebIoyLnX51IT4o7RQ,6,0.3333333333333333,0.6832441927312662
+3zSBU3xYaCu1T/1Mu3G3Q,10,0.5,0.6899197734581396
+48SQYvFl/CCcG9BW77cLA,4,0.75,0.7528467923036937
+4DTvV4mR7V1ufg0b8/JiQ,1,1.0,0.7611868044621156
+4F9EnUraKhr5LsCSM74ww,8,0.625,0.7262313404822521
+4Geo8VQmdn7LiXwkfzypg,6,0.5,0.7110219705090439
+4JEP5RqXMPkaXfwkpjCpg,2,0.5,0.7373997168226745
+4i9cl3hGdU73yjNLQfkNA,1,0.0,0.7289287399459865
+4m1rGO6Mht4QeDuXSBJNA,3,1.0,0.7756603314644116
+4tAlmx0HND8JLy89glQhg,2,0.0,0.7061497168226745
+4wIZq2kgIwrsDfUSh54fg,2,1.0,0.7686497168226745
+5519RONoecXRjhMZhncSA,3,1.0,0.7756603314644116
+57vRSEQoBvYypJKKsLBaw,5,0.8,0.759908312523588
+5AClNkAViajmHrJ5zkciQ,4,1.0,0.7822585570095759
+5B8z6VIhaluC7LDD7o3UA,1,1.0,0.7611868044621156
+5E/YcnReJGD5ldBMV8vmg,1,1.0,0.7611868044621156
+5FEVWO2nzY1Sb5X0h6Pyg,7,0.8571428571428571,0.7728862415763671
+5Ps+cZDX+5MeZKtUUKpEw,16,0.9375,0.8173215421375126
