hand,equity,percentile
AA,0.8534700000000001,0.005917159763313609
KK,0.82444,0.011834319526627219
QQ,0.8014899999999999,0.01775147928994083
JJ,0.77292,0.023668639053254437
TT,0.7490399999999999,0.029585798816568046
99,0.7217800000000001,0.03550295857988166
88,0.69254,0.04142011834319527
AKs,0.6718,0.047337278106508875
AQs,0.66232,0.05325443786982249
77,0.66164,0.05917159763313609
AJs,0.65374,0.0650887573964497
AKo,0.65296,0.07100591715976332
ATs,0.64568,0.07692307692307693
AQo,0.64427,0.08284023668639054
KQs,0.63675,0.08875739644970414
AJo,0.63573,0.09467455621301775
66,0.63508,0.10059171597633136
A9s,0.6289199999999999,0.10650887573964497
KJs,0.62727,0.11242603550295859
ATo,0.62579,0.11834319526627218
KTs,0.6175700000000001,0.1242603550295858
A8s,0.6174499999999999,0.1301775147928994
KQo,0.6162,0.13609467455621302
A7s,0.6107699999999999,0.14201183431952663
A9o,0.60887,0.14792899408284024
KJo,0.6035200000000001,0.15384615384615385
55,0.60327,0.15976331360946747
QJs,0.60221,0.16568047337278108
A6s,0.60079,0.17159763313609466
K9s,0.59891,0.17751479289940827
A8o,0.5986199999999999,0.1834319526627219
A5s,0.59846,0.1893491124260355
KTo,0.5961299999999999,0.1952662721893491
QTs,0.5947100000000001,0.20118343195266272
A7o,0.58932,0.20710059171597633
A4s,0.58824,0.21301775147928995
QJo,0.5854699999999999,0.21893491124260356
K8s,0.582,0.22485207100591717
A3s,0.57964,0.23076923076923078
K9o,0.57933,0.23668639053254437
A6o,0.57738,0.24260355029585798
A5o,0.57665,0.2485207100591716
Q9s,0.57659,0.25443786982248523
JTs,0.57594,0.2603550295857988
A2s,0.5754,0.26627218934911245
K7s,0.57195,0.27218934911242604
QTo,0.57159,0.2781065088757396
A4o,0.5680000000000001,0.28402366863905326
K6s,0.5667099999999999,0.28994082840236685
44,0.56602,0.2958579881656805
K5s,0.56133,0.30177514792899407
Q8s,0.56078,0.3076923076923077
K8o,0.55755,0.3136094674556213
JTo,0.55588,0.31952662721893493
A3o,0.55528,0.3254437869822485
J9s,0.55454,0.33136094674556216
Q9o,0.55239,0.33727810650887574
K7o,0.55184,0.3431952662721893
A2o,0.5489499999999999,0.34911242603550297
K4s,0.54797,0.35502958579881655
K6o,0.54477,0.3609467455621302
Q7s,0.5424,0.3668639053254438
K3s,0.5406299999999999,0.3727810650887574
T9s,0.53814,0.378698224852071
J8s,0.5380400000000001,0.38461538461538464
Q8o,0.5373,0.3905325443786982
J9o,0.5363100000000001,0.39644970414201186
Q6s,0.53479,0.40236686390532544
K5o,0.5347500000000001,0.40828402366863903
33,0.53469,0.41420118343195267
K2s,0.53393,0.42011834319526625
Q5s,0.5285000000000001,0.4260355029585799
T8s,0.5242,0.4319526627218935
K4o,0.5196,0.4378698224852071
J7s,0.51948,0.4437869822485207
K3o,0.5168,0.44970414201183434
Q7o,0.51609,0.4556213017751479
T9o,0.51514,0.46153846153846156
J8o,0.51504,0.46745562130177515
Q4s,0.51468,0.47337278106508873
Q3s,0.51446,0.47928994082840237
Q6o,0.5143,0.48520710059171596
98s,0.50825,0.4911242603550296
K2o,0.50772,0.4970414201183432
J6s,0.50584,0.5029585798816568
22,0.5023,0.5088757396449705
T7s,0.50173,0.514792899408284
Q2s,0.5013500000000001,0.5207100591715976
Q5o,0.50008,0.5266272189349113
J7o,0.4987,0.5325443786982249
J5s,0.49673,0.5384615384615384
T8o,0.49588,0.5443786982248521
97s,0.49324999999999997,0.5502958579881657
Q4o,0.49187,0.5562130177514792
J4s,0.49011,0.5621301775147929
T6s,0.48557999999999996,0.5680473372781065
J3s,0.4852,0.5739644970414202
Q3o,0.48301,0.5798816568047337
87s,0.48196,0.5857988165680473
98o,0.48024,0.591715976331361
T7o,0.47942,0.5976331360946746
J2s,0.47491000000000005,0.6035502958579881
J6o,0.47468000000000005,0.6094674556213018
96s,0.47456,0.6153846153846154
Q2o,0.47189000000000003,0.621301775147929
T5s,0.47067000000000003,0.6272189349112426
J5o,0.46615,0.6331360946745562
T4s,0.46437999999999996,0.6390532544378699
86s,0.4633,0.6449704142011834
J4o,0.46245,0.650887573964497
97o,0.46214,0.6568047337278107
T6o,0.45849999999999996,0.6627218934911243
95s,0.45659,0.6686390532544378
T3s,0.45521,0.6745562130177515
76s,0.45372999999999997,0.6804733727810651
J3o,0.4537,0.6863905325443787
87o,0.45098,0.6923076923076923
T2s,0.45002,0.6982248520710059
96o,0.44607,0.7041420118343196
T5o,0.44518,0.7100591715976331
85s,0.44383,0.7159763313609467
J2o,0.44237,0.7218934911242604
94s,0.43756999999999996,0.727810650887574
T4o,0.43477,0.7337278106508875
75s,0.43474,0.7396449704142012
65s,0.43077000000000004,0.7455621301775148
93s,0.42971000000000004,0.7514792899408284
84s,0.42851,0.757396449704142
86o,0.42846,0.7633136094674556
T3o,0.42718999999999996,0.7692307692307693
92s,0.42654000000000003,0.7751479289940828
95o,0.42533,0.7810650887573964
74s,0.41944000000000004,0.7869822485207101
76o,0.41942999999999997,0.7928994082840237
T2o,0.4171,0.7988165680473372
54s,0.41463,0.8047337278106509
85o,0.4142,0.8106508875739645
64s,0.41356,0.8165680473372781
94o,0.41085,0.8224852071005917
83s,0.40783,0.8284023668639053
75o,0.40726,0.834319526627219
82s,0.40127999999999997,0.8402366863905325
73s,0.40066,0.8461538461538461
93o,0.39992,0.8520710059171598
65o,0.39844999999999997,0.8579881656804734
84o,0.3977,0.863905325443787
63s,0.39743,0.8698224852071006
53s,0.39477999999999996,0.8757396449704142
92o,0.39116,0.8816568047337278
43s,0.39038,0.8875739644970414
74o,0.38727999999999996,0.893491124260355
52s,0.38156,0.8994082840236687
64o,0.38103,0.9053254437869822
54o,0.38037000000000004,0.9112426035502958
72s,0.37919,0.9171597633136095
83o,0.37342000000000003,0.9230769230769231
62s,0.37253,0.9289940828402367
82o,0.37007,0.9349112426035503
42s,0.36816,0.9408284023668639
73o,0.36695999999999995,0.9467455621301775
53o,0.3657,0.9526627218934911
32s,0.3629,0.9585798816568047
63o,0.36036,0.9644970414201184
43o,0.35047,0.9704142011834319
72o,0.34736,0.9763313609467456
52o,0.34098,0.9822485207100592
62o,0.33960999999999997,0.9881656804733728
42o,0.33666,0.9940828402366864
32o,0.32469,1.0
