bettor_archetype,defender_archetype,hand,avg_ev_bb,n_boards_used
Nit,Nit,AA,1.5522014074035275,8
Nit,Nit,KK,1.5638855123152942,8
Nit,Nit,QQ,1.5285078860743293,8
Nit,Nit,JJ,1.5436981261026979,8
Nit,Nit,TT,1.5295832213291634,8
Nit,Nit,99,1.5187033587508438,8
Nit,Nit,88,1.5327640449401005,8
Nit,Nit,AKs,1.5430113573685182,8
Nit,Nit,77,1.527739789463734,8
Nit,Nit,AKo,1.5430475030913695,8
Nit,Nit,AJo,1.5472042612192989,8
Nit,Nit,AQo,1.5367762201766242,8
Nit,Nit,AQs,1.5367762201766237,8
Nit,Nit,A9o,1.527739789463734,8
Nit,Nit,A7o,1.545812650889514,8
Nit,Nit,KJs,1.5313182160260381,8
Nit,Nit,QJs,1.5243420915156871,8
Nit,Nit,A7s,1.545812650889514,8
Nit,Nit,A9s,1.5367762201766237,8
Nit,Nit,KTo,1.5442222390840454,8
Nit,Nit,A8o,1.527739789463734,8
Nit,Nit,AJs,1.537752154693616,8
Nit,Nit,ATs,1.5367762201766242,8
Nit,Nit,K9s,1.5407161039674437,8
Nit,Nit,55,1.560451668644396,8
Nit,Nit,66,1.5277397894637337,8
Nit,Nit,KQs,1.539017254993421,8
Nit,Nit,A8s,1.527739789463734,8
Nit,Nit,ATo,1.53807746619928,8
Nit,Nit,A5s,1.5481259771520142,8
Nit,Nit,QTs,1.551162217871545,8
Nit,Nit,K8s,1.5313905074717415,8
Nit,Nit,KTs,1.540372719600354,8
Nit,Nit,A4s,1.549445296036096,8
Nit,Nit,KJo,1.549517587481799,8
Nit,Nit,K5s,1.5441860933611937,8
Nit,Nit,A6s,1.527739789463734,8
Nit,Nit,K9o,1.5314627989174445,8
Nit,Nit,A3s,1.527739789463734,8
Nit,Nit,44,1.5257337018454722,8
Nit,Nit,KQo,1.543589688934143,8
Nit,Nit,K7s,1.5495356603432247,8
Nit,Nit,Q8s,1.5239625614257457,8
Nit,Nit,A5o,1.5479994671220334,8
Nit,Nit,Q5s,1.5457042137209593,8
Nit,Nit,A4o,1.5404088653232058,8
Nit,Nit,Q9o,1.5187033587508436,8
Nit,Nit,QTo,1.5494995146203732,8
Nit,Nit,Q9s,1.53298091927721,8
Nit,Nit,A6o,1.545812650889514,8
Nit,Nit,A2s,1.5518670594671504,8
Nit,Nit,JTs,1.526149377658265,8
Nit,Nit,K4o,1.5313001431646125,8
Nit,Nit,K6s,1.541710111345862,8
Nit,Nit,K8o,1.5310832688275031,8
Nit,Nit,K7o,1.5493730045903926,8
Nit,Nit,J9o,1.5256433375383434,8
Nit,Nit,J8s,1.5214685065489881,8
Nit,Nit,JTo,1.5260951590739877,8
Nit,Nit,K4s,1.5367762201766237,8
Nit,Nit,K2s,1.5543611143439082,8
Nit,Nit,K6o,1.549499514620373,8
Nit,Nit,J9s,1.5370653859594363,8
Nit,Nit,K3s,1.5410052697502565,8
Nit,Nit,A3o,1.5367762201766242,8
Nit,Nit,Q6s,1.523691468504359,8
Nit,Nit,QJo,1.536776220176624,8
Nit,Nit,33,1.5498971175717404,8
Nit,Nit,Q3s,1.5236191770586558,8
Nit,Nit,J7s,1.5343183110227179,8
Nit,Nit,Q6o,1.5277397894637337,8
Nit,Nit,Q7s,1.5418366213758425,8
Nit,Nit,J5s,1.5429029201999633,8
Nit,Nit,J6s,1.5198780947435193,8
Nit,Nit,T9o,1.5187033587508436,8
Nit,Nit,Q7o,1.536776220176624,8
Nit,Nit,A2o,1.5665060772220327,8
Nit,Nit,K5o,1.5531683054898067,8
Nit,Nit,K3o,1.5600902114158806,8
Nit,Nit,Q8o,1.5187033587508436,8
Nit,Nit,T7s,1.5440415104697878,8
Nit,Nit,J8o,1.515468316555629,8
Nit,Nit,97s,1.5258963575983044,8
Nit,Nit,T8s,1.5257337018454722,8
Nit,Nit,Q4s,1.5330532107229131,8
Nit,Nit,J4s,1.5258421390140269,8
Nit,Nit,J3s,1.516715343994008,8
Nit,Nit,96s,1.525534900369789,8
