player,hands_seen,vpip,pfr,aggression_factor,reliable,archetype,postflop_freq_tier,archetype_freq,n_sessions,profile_id
Vh4JsLidKio33El+ejOAzQ,20226,0.24784930287748444,0.11208345693661624,1.5011185682326622,True,LAG,rare,LAG (rare),6,real_01
EN4onCeuwLRP8LizUenEuw,14062,0.1993315317877969,0.11847532356706016,2.574162679425837,True,LAG,normal,LAG (normal),9,real_02
lquriepNQBhDV5P1SWHhnA,13667,0.1781663861857028,0.08143703812102143,4.421428571428572,True,LAG,often,LAG (often),9,real_03
GlB1Oj8L+if4+SxM94G1UQ,13031,0.18801319929399124,0.10521065152329062,3.084070796460177,True,LAG,often,LAG (often),21,real_04
+oASMsVwjy/wDO/3OoX+SQ,12810,0.2959406713505074,0.21756440281030445,2.4180024660912456,True,LAG,normal,LAG (normal),8,real_05
Ikc09dtbuz0rCsPXj2IRHw,17739,0.19544506454704325,0.056823947234906136,1.9831932773109244,True,Loose-passive,rare,Loose-passive (rare),18,real_06
fxMxUpEBZ0A2SmzAhnOfTg,17031,0.2360401620574247,0.033644530561916505,2.2601307189542483,True,Loose-passive,normal,Loose-passive (normal),10,real_07
1uTQNrrHbXUnPcr+hKHjfA,15388,0.15473095918897842,0.06134650376917078,2.089795918367347,True,Loose-passive,normal,Loose-passive (normal),19,real_08
BgIoOWt+syHhkuoswO71Hg,14061,0.19799445274162578,0.0583173316264846,1.9044684129429892,True,Loose-passive,rare,Loose-passive (rare),24,real_09
zDrucyjVn5aeekNEc3cJrA,13411,0.17508015807918872,0.021474908657072554,1.1019108280254777,True,Loose-passive,rare,Loose-passive (rare),7,real_10
NDQC5c0/1VeQxTYxylyOZw,13360,0.21055389221556886,0.024476047904191618,1.8417508417508417,True,Loose-passive,rare,Loose-passive (rare),15,real_11
anwaoqbgDf+q18dOg0mwEw,13315,0.18235073225685317,0.06466391288021028,2.3591022443890273,True,Loose-passive,normal,Loose-passive (normal),12,real_12
xZO0Qn/ojjOuLxL1qGwUFg,12155,0.27799259563965445,0.12192513368983957,1.254278728606357,True,Loose-passive,rare,Loose-passive (rare),22,real_13
AiXn/9o1EwOPZUHujnh/bA,11853,0.16594954863747574,0.04935459377372817,2.5196850393700787,True,Loose-passive,normal,Loose-passive (normal),35,real_14
Evbijjx6feUSPZskzntBxw,11479,0.3215436884746058,0.09634985625925603,2.1054637865311308,True,Loose-passive,normal,Loose-passive (normal),14,real_15
N36mAg8KDDEtN5cQq1iRyg,11474,0.1532159665330312,0.0554296670733833,2.440119760479042,True,Loose-passive,normal,Loose-passive (normal),17,real_16
U/3f9UY9qs8yEpfIXb5VJw,3627,0.4507857733664185,0.23435346015991176,2.8924485125858124,True,Maniac,normal,Maniac (normal),20,real_17
Rug43f6MhGFLW8qlqkfWfQ,2976,0.4536290322580645,0.31081989247311825,2.314540059347181,True,Maniac,normal,Maniac (normal),5,real_18
YmhwlX7C+cq358pbmmN2lQ,2021,0.5230084116773874,0.24047501237011382,2.792682926829268,True,Maniac,normal,Maniac (normal),13,real_19
PLe9/MZWQCzqlcQeGxAauA,2009,0.538576406172225,0.36485813837730213,3.6157894736842104,True,Maniac,often,Maniac (often),12,real_20
vWwwFVQNDRrc1S3yPeVmAg,39915,0.10021295252411375,0.09983715395214832,8.76923076923077,True,Nit,often,Nit (often),11,real_21
80IuAS7RweimOYh643WA4A,38815,0.10094035810897849,0.09911116836274636,2.7413793103448274,True,Nit,normal,Nit (normal),12,real_22
kG34n23qFQA3nzdOJTQ1dA,36144,0.1234506418769367,0.06294267374944666,1.7897862232779098,True,Nit,rare,Nit (rare),8,real_23
jpvSIslPlWkC8JycGuYTkw,4583,0.3670085097097971,0.07287802749290857,1.7593582887700534,True,Station,rare,Station (rare),12,real_24
HiKEEIm+r1ZOBzPco20tRQ,4016,0.40712151394422313,0.0801792828685259,5.148148148148148,True,Station,often,Station (often),11,real_25
Q3EMN7b0ie81AFWkDrhCjw,3800,0.41157894736842104,0.1281578947368421,2.3206106870229006,True,Station,normal,Station (normal),24,real_26
oOxC8k3jwEiRh4qm9IL1nQ,3499,0.39096884824235495,0.13118033723921121,1.5989717223650386,True,Station,rare,Station (rare),5,real_27
+TAzR0ZTILUBuyqnOz8ZhQ,3359,0.3554629353974397,0.05358737719559393,2.3192612137203166,True,Station,normal,Station (normal),7,real_28
raLMCMSd66o+4auIaQRtfQ,3093,0.5606207565470417,0.08729388942774007,2.2802547770700636,True,Station,normal,Station (normal),8,real_29
FfOxQjil8KYTJ5FN471vOA,3064,0.35574412532637073,0.057114882506527416,2.9942528735632186,True,Station,normal,Station (normal),6,real_30
xugBzoAixOSkVo02fsfBkg,2986,0.4795713328868051,0.12726054922973878,1.7437722419928825,True,Station,rare,Station (rare),8,real_31
4mPImcr1zS6CEYzrnG2b1Q,2884,0.4136615811373093,0.1435506241331484,1.3762376237623761,True,Station,rare,Station (rare),14,real_32
cPO/1/dTcZpLkQFm3jH3Rg,32385,0.16152539756059905,0.13002933456847307,3.6129032258064515,True,TAG,often,TAG (often),23,real_33
wGigCmBR/9XWkPpvYos3aQ,25775,0.19518913676042676,0.16263821532492725,3.3252032520325203,True,TAG,often,TAG (often),9,real_34
Q1uciOZPBR/WkAlqa6cL4A,24745,0.1574459486765003,0.09953525964841382,2.9467353951890036,True,TAG,normal,TAG (normal),14,real_35
